chromosome,position_hg38
chr1,167623500
chr1,168430500
chr1,168452500
chr1,168508500
chr1,169335500
chr1,169442500
chr1,169496500
chr1,170160500
chr1,170605500
chr1,170762500
chr1,171359500
chr1,171968500
chr1,172259500
chr1,172283500
chr1,172724500
chr1,173080500
chr1,173944500
chr1,174645500
chr1,174813500
chr1,175576500
chr1,176318500
chr1,176352500
chr1,176744500
chr1,176796500
chr1,177166500
chr1,177290500
chr1,177677500
chr1,177845500
chr1,178712500
chr1,178750500
chr1,178830500
chr1,178880500
chr1,179005500
chr1,179463500
chr1,179983500
chr1,180330500
chr1,180344500
chr1,180523500
chr1,180739500
chr1,182299500
chr1,182574500
chr1,183125500
chr1,183887500
chr1,183905500
chr1,183940500
chr1,184116500
chr1,184155500
chr1,184184500
chr1,184304500
chr1,184533500
chr1,184558500
chr1,185084500
chr1,185871500
chr1,187021500
chr1,187151500
chr1,187603500
chr1,188751500
chr1,188864500
chr1,189126500
chr1,189409500
chr1,189738500
chr1,190399500
chr1,190792500
chr1,190922500
chr1,190984500
chr1,191283500
chr1,192022500
chr1,192144500
chr1,192594500
chr1,192839500
chr1,193421500
chr1,193529500
chr1,193837500
chr1,193984500
chr1,194213500
chr1,194315500
chr1,194498500
chr1,195026500
chr1,195285500
chr1,195696500
chr1,196033500
chr1,196345500
chr1,196667500
chr1,197427500
chr1,197481500
chr1,197603500
chr1,198326500
chr1,198353500
chr1,198424500
chr1,198626500
chr1,198707500
chr1,198766500
chr1,198863500
chr1,198925500
chr1,198935500
chr1,199090500
chr1,199466500
chr1,200491500
chr1,200551500
chr1,202595500
chr1,203020500
chr1,203700500
chr1,204771500
chr1,205511500
chr1,205664500
chr1,206276500
chr1,206661500
chr1,206928500
chr1,207507500
chr1,207923500
chr1,208172500
chr1,208416500
chr1,208435500
chr1,208609500
chr1,208847500
chr1,208886500
chr1,208900500
chr1,208989500
chr1,209422500
chr1,210739500
chr1,210822500
chr1,211409500
chr1,211568500
chr1,211960500
chr1,211965500
chr1,212222500
chr1,212543500
chr1,212615500
chr1,212816500
chr1,213078500
chr1,213160500
chr1,213852500
chr1,214412500
chr1,214595500
chr1,215310500
chr1,216319500
chr1,216683500
chr1,217116500
chr1,217191500
chr1,217216500
chr1,217495500
chr1,217539500
chr1,217734500
chr1,218084500
chr1,218750500
chr1,218839500
chr1,219032500
chr1,219158500
chr1,219332500
chr1,219340500
chr1,219464500
chr1,219669500
chr1,220026500
chr1,220045500
chr1,220162500
chr1,220237500
chr1,221074500
chr1,221175500
chr1,221506500
chr1,221709500
chr1,221899500
chr1,222144500
chr1,222477500
chr1,222673500
chr1,223172500
chr1,223965500
chr1,224365500
chr1,224755500
chr1,225416500
chr1,225763500
chr1,225950500
chr1,227006500
chr1,227162500
chr1,227500500
chr1,227529500
chr1,227803500
chr1,227909500
chr1,228522500
chr1,228582500
chr1,228835500
chr1,228915500
chr1,229002500
chr1,229110500
chr1,229504500
chr1,229679500
chr1,229885500
chr1,230780500
chr1,231012500
chr1,231029500
chr1,231765500
chr1,231773500
chr1,232898500
chr1,233186500
chr1,233288500
chr1,233629500
chr1,233686500
chr1,234072500
chr1,234310500
chr1,235092500
chr1,235437500
chr1,236119500
chr1,236401500
chr1,236507500
chr1,236575500
chr1,236917500
chr1,237045500
chr1,237387500
chr1,237444500
chr1,237806500
chr1,237845500
chr1,238478500
chr1,238637500
chr1,238805500
chr1,238974500
chr1,239242500
chr1,239334500
chr1,239836500
chr1,240293500
chr1,240338500
chr1,240717500
chr1,241304500
chr1,241398500
chr1,241752500
chr1,243515500
chr1,244120500
chr1,244206500
chr1,244908500
chr1,246054500
chr1,247510500
chr1,247642500
chr1,247707500
chr1,248226500
chr1,248266500
chr1,248448500
chr1,248480500
chr2,242500
chr2,525500
chr2,1231500
chr2,1414500
chr2,2173500
chr2,2961500
chr2,3221500
chr2,4047500
chr2,4320500
chr2,5628500
chr2,5857500
chr2,6981500
chr2,6999500
chr2,7218500
chr2,7479500
chr2,7644500
chr2,9212500
chr2,9311500
chr2,9454500
chr2,9663500
chr2,9979500
chr2,10436500
chr2,10535500
chr2,11703500
chr2,11922500
chr2,12109500
chr2,12191500
chr2,12197500
chr2,12403500
chr2,12560500
chr2,12934500
chr2,13776500
chr2,13894500
chr2,14496500
chr2,14583500
chr2,14635500
chr2,14723500
chr2,14969500
chr2,15261500
chr2,15456500
chr2,15570500
chr2,16445500
chr2,16818500
chr2,17013500
chr2,17440500
chr2,18094500
chr2,18389500
chr2,18662500
chr2,18676500
chr2,19483500
chr2,19624500
chr2,20468500
chr2,21277500
chr2,22407500
chr2,22427500
chr2,22776500
chr2,22940500
chr2,23078500
chr2,23142500
chr2,23323500
chr2,24398500
chr2,24552500
chr2,24776500
chr2,25530500
chr2,25576500
chr2,25717500
chr2,25853500
chr2,26958500
chr2,27403500
chr2,27408500
chr2,27499500
chr2,27767500
chr2,27970500
chr2,29280500
chr2,29318500
chr2,29548500
chr2,30441500
chr2,30573500
chr2,30899500
chr2,31350500
chr2,31706500
chr2,31747500
chr2,31839500
chr2,32368500
chr2,32729500
chr2,33330500
chr2,33610500
chr2,34303500
chr2,34428500
chr2,34947500
chr2,35077500
chr2,35569500
chr2,36464500
chr2,36540500
chr2,36741500
chr2,37952500
chr2,38249500
chr2,38299500
chr2,38635500
chr2,39299500
chr2,39321500
chr2,39499500
chr2,39510500
chr2,39769500
chr2,41272500
chr2,41479500
chr2,41599500
chr2,41656500
chr2,41737500
chr2,41798500
chr2,41982500
chr2,42246500
chr2,42542500
chr2,42567500
chr2,43006500
chr2,43024500
chr2,43533500
chr2,43787500
chr2,43902500
chr2,44594500
chr2,44889500
chr2,45574500
chr2,46053500
chr2,46809500
chr2,46995500
chr2,47800500
chr2,49476500
chr2,49990500
chr2,50489500
chr2,50593500
chr2,51971500
chr2,52069500
chr2,52073500
chr2,52388500
chr2,52580500
chr2,52952500
chr2,54244500
chr2,54459500
chr2,55662500
chr2,55835500
chr2,56495500
chr2,57606500
chr2,57620500
chr2,57897500
chr2,58618500
chr2,58654500
chr2,58824500
chr2,59113500
chr2,60275500
chr2,60695500
chr2,60886500
chr2,61582500
chr2,62613500
chr2,63199500
chr2,63925500
chr2,63988500
chr2,64255500
chr2,64366500
chr2,65098500
chr2,65307500
chr2,65417500
chr2,65823500
chr2,65974500
chr2,66313500
chr2,66362500
chr2,66455500
chr2,66905500
chr2,67153500
chr2,67371500
chr2,67598500
chr2,67805500
chr2,67840500
chr2,68317500
chr2,68369500
chr2,68660500
chr2,68927500
chr2,69023500
chr2,69435500
chr2,69544500
chr2,70286500
chr2,70615500
chr2,71313500
chr2,71437500
chr2,71627500
chr2,71831500
chr2,72196500
chr2,72695500
chr2,73002500
chr2,73557500
chr2,73705500
chr2,73750500
chr2,73764500
chr2,73904500
chr2,73925500
chr2,75409500
chr2,75534500
chr2,75717500
chr2,76550500
chr2,76726500
chr2,76843500
chr2,76918500
chr2,77039500
chr2,77059500
chr2,77821500
chr2,78052500
chr2,78294500
chr2,78486500
chr2,78861500
chr2,79119500
chr2,79407500
chr2,79491500
chr2,79615500
chr2,79688500
chr2,79825500
chr2,80424500
chr2,80559500
chr2,80851500
chr2,81104500
chr2,81145500
chr2,81601500
chr2,81953500
chr2,82076500
chr2,82133500
chr2,82291500
chr2,82729500
chr2,82919500
chr2,83874500
chr2,84326500
chr2,84353500
chr2,84395500
chr2,84681500
chr2,84830500
chr2,84969500
chr2,85400500
chr2,85949500
chr2,87401500
chr2,87749500
chr2,88674500
chr2,88725500
chr2,89068500
chr2,89240500
chr2,89624500
chr2,89758500
chr2,89998500
chr2,90420500
chr2,90685500
chr2,91246500
chr2,91341500
chr2,91395500
chr2,91868500
chr2,91908500
chr2,91996500
chr2,92654500
chr2,92715500
chr2,92890500
chr2,93212500
chr2,93216500
chr2,93629500
chr2,94343500
chr2,94559500
chr2,94901500
chr2,94960500
chr2,95460500
chr2,95819500
chr2,96142500
chr2,96184500
chr2,96414500
chr2,96746500
chr2,96751500
chr2,97116500
chr2,97987500
chr2,98131500
chr2,99617500
chr2,99965500
chr2,101177500
chr2,101350500
chr2,102201500
chr2,102310500
chr2,102440500
chr2,102571500
chr2,103449500
chr2,103807500
chr2,103999500
chr2,104455500
chr2,104672500
chr2,104972500
chr2,105289500
chr2,105660500
chr2,106028500
chr2,106322500
chr2,106331500
chr2,106544500
chr2,107729500
chr2,108536500
chr2,108557500
chr2,108573500
chr2,109937500
chr2,110118500
chr2,110213500
chr2,110440500
chr2,110727500
chr2,111108500
chr2,112370500
chr2,112455500
chr2,113138500
chr2,113845500
chr2,115162500
chr2,115839500
chr2,116177500
chr2,116287500
chr2,117416500
chr2,117500500
chr2,117561500
chr2,117722500
chr2,117914500
chr2,118203500
chr2,118463500
chr2,118493500
chr2,119114500
chr2,119871500
chr2,119943500
chr2,121332500
chr2,121473500
chr2,121869500
chr2,122846500
chr2,123142500
chr2,123514500
chr2,123725500
chr2,124705500
chr2,125103500
chr2,125230500
chr2,125385500
chr2,125537500
chr2,125681500
chr2,125737500
chr2,127361500
chr2,127657500
chr2,127908500
chr2,127932500
chr2,128184500
chr2,128394500
chr2,129427500
chr2,129715500
chr2,129911500
chr2,130197500
chr2,130280500
chr2,130406500
chr2,130463500
chr2,131130500
chr2,131223500
chr2,131639500
chr2,131920500
chr2,132020500
chr2,132218500
chr2,132423500
chr2,132826500
chr2,133605500
chr2,134424500
chr2,134670500
chr2,134900500
chr2,135116500
chr2,137247500
chr2,138654500
chr2,138660500
chr2,138685500
chr2,139536500
chr2,139737500
chr2,140311500
chr2,140411500
chr2,140943500
chr2,141120500
chr2,141719500
chr2,141978500
chr2,142562500
chr2,143457500
chr2,143516500
chr2,143836500
chr2,143923500
chr2,144078500
chr2,144195500
chr2,144368500
chr2,144760500
chr2,144865500
chr2,145939500
chr2,146044500
chr2,146520500
chr2,146568500
chr2,147046500
chr2,147600500
chr2,147834500
chr2,147863500
chr2,148078500
chr2,148278500
chr2,149668500
chr2,150177500
chr2,152552500
chr2,153005500
chr2,153046500
chr2,153230500
chr2,153291500
chr2,153692500
chr2,153823500
chr2,153904500
chr2,153926500
chr2,154197500
chr2,154535500
chr2,154620500
chr2,154781500
chr2,155071500
chr2,155291500
chr2,155614500
chr2,155816500
chr2,155873500
chr2,155955500
chr2,156122500
chr2,156157500
chr2,156202500
chr2,156516500
chr2,157638500
chr2,157843500
chr2,158112500
chr2,159979500
chr2,160044500
chr2,160136500
chr2,160245500
chr2,160529500
chr2,160721500
chr2,160933500
chr2,161054500
chr2,162030500
chr2,162347500
chr2,163127500
chr2,164164500
chr2,164710500
chr2,165540500
chr2,165662500
chr2,165818500
chr2,166543500
chr2,166787500
chr2,167507500
chr2,167545500
chr2,168196500
chr2,168328500
chr2,168657500
chr2,168767500
chr2,168880500
chr2,169238500
chr2,169267500
chr2,169284500
chr2,169435500
chr2,172118500
chr2,172300500
chr2,172598500
chr2,173004500
chr2,173180500
chr2,173621500
chr2,174108500
chr2,174205500
chr2,174434500
chr2,174909500
chr2,175105500
chr2,175251500
chr2,175663500
chr2,175665500
chr2,176123500
chr2,176457500
chr2,176912500
chr2,177227500
chr2,177387500
chr2,177666500
chr2,178467500
chr2,178498500
chr2,178587500
chr2,178948500
chr2,178967500
chr2,179196500
chr2,179307500
chr2,179349500
chr2,179516500
chr2,179572500
chr2,179587500
chr2,180138500
chr2,180311500
chr2,180504500
chr2,180695500
chr2,180828500
chr2,181216500
chr2,181574500
chr2,181718500
chr2,181819500
chr2,181869500
chr2,182965500
chr2,183687500
chr2,184488500
chr2,184617500
chr2,184683500
chr2,184925500
chr2,185708500
chr2,187133500
chr2,187871500
chr2,188772500
chr2,189544500
chr2,189784500
chr2,190132500
chr2,191616500
chr2,193229500
chr2,193859500
chr2,194480500
chr2,194981500
chr2,195260500
chr2,195343500
chr2,195453500
chr2,195905500
chr2,196363500
chr2,196881500
chr2,196897500
chr2,197049500
chr2,197085500
chr2,197761500
chr2,197842500
chr2,198272500
chr2,198541500
chr2,199452500
chr2,199618500
chr2,199731500
chr2,199873500
chr2,199885500
chr2,200189500
chr2,200674500
chr2,200927500
chr2,201002500
chr2,201007500
chr2,201407500
chr2,201666500
chr2,201945500
chr2,202239500
chr2,202798500
chr2,203074500
chr2,203988500
chr2,204223500
chr2,204420500
chr2,204888500
chr2,205713500
chr2,206111500
chr2,206128500
chr2,206200500
chr2,206424500
chr2,206459500
chr2,206480500
chr2,206638500
chr2,206679500
chr2,206962500
chr2,207216500
chr2,208558500
chr2,208928500
chr2,208961500
chr2,209421500
chr2,209752500
chr2,209836500
chr2,209977500
chr2,210404500
chr2,211456500
chr2,211707500
chr2,212209500
chr2,212354500
chr2,213210500
chr2,214240500
chr2,214530500
chr2,214898500
chr2,215644500
chr2,216429500
chr2,216825500
chr2,216871500
chr2,217914500
chr2,218023500
chr2,219820500
chr2,220427500
chr2,220623500
chr2,220852500
chr2,221993500
chr2,222000500
chr2,222048500
chr2,222436500
chr2,222824500
chr2,222877500
chr2,223185500
chr2,223368500
chr2,224321500
chr2,226192500
chr2,226480500
chr2,226670500
chr2,229288500
chr2,229376500
chr2,229672500
chr2,229884500
chr2,229927500
chr2,230113500
chr2,230196500
chr2,230504500
chr2,230803500
chr2,230938500
chr2,231593500
chr2,231914500
chr2,231977500
chr2,232557500
chr2,232906500
chr2,233015500
chr2,233603500
chr2,234141500
chr2,234922500
chr2,235018500
chr2,235324500
chr2,235541500
chr2,235745500
chr2,235778500
chr2,236629500
chr2,236756500
chr2,237182500
chr2,237782500
chr2,237809500
chr2,238117500
chr2,238505500
chr2,238727500
chr2,238779500
chr2,239376500
chr2,239627500
chr2,239910500
chr2,240037500
chr2,240421500
chr2,240694500
chr2,241902500
chr3,449500
chr3,498500
chr3,671500
chr3,877500
chr3,1763500
chr3,2134500
chr3,2399500
chr3,2821500
chr3,3841500
chr3,4566500
chr3,4917500
chr3,5138500
chr3,6444500
chr3,6652500
chr3,6953500
chr3,6958500
chr3,7013500
chr3,7113500
chr3,7145500
chr3,7203500
chr3,7256500
chr3,7425500
chr3,7579500
chr3,7726500
chr3,8113500
chr3,8793500
chr3,8947500
chr3,9080500
chr3,9157500
chr3,9222500
chr3,9259500
chr3,10373500
chr3,10423500
chr3,10964500
chr3,11009500
chr3,11690500
chr3,11768500
chr3,11885500
chr3,12084500
chr3,12830500
chr3,13045500
chr3,13175500
chr3,13195500
chr3,13657500
chr3,14231500
chr3,14328500
chr3,14585500
chr3,14866500
chr3,15175500
chr3,15898500
chr3,16145500
chr3,16440500
chr3,16709500
chr3,16943500
chr3,17208500
chr3,17212500
chr3,17371500
chr3,17408500
chr3,17466500
chr3,17828500
chr3,18009500
chr3,18683500
chr3,18713500
chr3,19247500
chr3,19436500
chr3,19517500
chr3,19769500
chr3,22067500
chr3,22437500
chr3,22489500
chr3,22724500
chr3,22804500
chr3,22980500
chr3,23251500
chr3,23350500
chr3,23690500
chr3,23792500
chr3,23845500
chr3,23996500
chr3,24515500
chr3,24578500
chr3,25013500
chr3,25102500
chr3,25200500
chr3,25370500
chr3,25374500
chr3,25647500
chr3,25879500
chr3,26117500
chr3,26503500
chr3,26864500
chr3,27149500
chr3,27488500
chr3,27554500
chr3,27591500
chr3,27846500
chr3,29201500
chr3,29788500
chr3,29919500
chr3,30877500
chr3,30887500
chr3,30958500
chr3,31720500
chr3,31796500
chr3,31810500
chr3,32265500
chr3,32577500
chr3,34056500
chr3,34129500
chr3,34380500
chr3,34644500
chr3,35137500
chr3,35230500
chr3,35419500
chr3,35525500
chr3,35688500
chr3,35861500
chr3,36563500
chr3,36782500
chr3,36913500
chr3,37239500
chr3,37965500
chr3,38321500
chr3,39373500
chr3,39764500
chr3,39819500
chr3,39986500
chr3,40540500
chr3,41719500
chr3,42094500
chr3,42315500
chr3,42643500
chr3,42785500
chr3,43274500
chr3,44816500
chr3,44836500
chr3,44966500
chr3,45107500
chr3,45125500
chr3,45144500
chr3,45610500
chr3,45713500
chr3,46053500
chr3,46178500
chr3,46723500
chr3,47003500
chr3,47341500
chr3,47394500
chr3,47623500
chr3,48272500
chr3,48275500
chr3,48362500
chr3,48795500
chr3,48986500
chr3,49019500
chr3,49497500
chr3,50054500
chr3,50292500
chr3,50519500
chr3,50554500
chr3,50710500
chr3,51237500
chr3,51403500
chr3,52353500
chr3,53164500
chr3,53342500
chr3,54013500
chr3,54174500
chr3,54444500
chr3,54918500
chr3,55664500
chr3,55928500
chr3,56501500
chr3,56712500
chr3,56863500
chr3,57155500
chr3,57396500
chr3,57557500
chr3,58013500
chr3,58027500
chr3,58183500
chr3,58937500
chr3,59239500
chr3,59624500
chr3,59674500
chr3,61165500
chr3,61205500
chr3,61247500
chr3,61352500
chr3,61788500
chr3,62943500
chr3,63135500
chr3,63759500
chr3,64116500
chr3,64387500
chr3,64844500
chr3,64985500
chr3,65211500
chr3,65600500
chr3,65656500
chr3,65989500
chr3,66322500
chr3,66368500
chr3,66582500
chr3,66706500
chr3,66742500
chr3,66770500
chr3,66983500
chr3,67093500
chr3,67659500
chr3,67723500
chr3,68009500
chr3,68012500
chr3,68030500
chr3,68246500
chr3,68544500
chr3,69512500
chr3,71234500
chr3,71317500
chr3,71440500
chr3,71453500
chr3,71764500
chr3,71945500
chr3,72076500
chr3,72189500
chr3,73005500
chr3,73429500
chr3,73529500
chr3,74090500
chr3,74760500
chr3,74992500
chr3,75039500
chr3,76199500
chr3,76327500
chr3,77210500
chr3,77247500
chr3,77264500
chr3,77490500
chr3,77606500
chr3,78049500
chr3,78128500
chr3,78397500
chr3,78615500
chr3,78819500
chr3,78857500
chr3,79274500
chr3,79456500
chr3,79511500
chr3,79587500
chr3,79849500
chr3,80101500
chr3,80276500
chr3,80380500
chr3,80780500
chr3,80945500
chr3,81542500
chr3,82699500
chr3,83015500
chr3,83142500
chr3,83487500
chr3,83808500
chr3,84333500
chr3,84392500
chr3,84683500
chr3,85476500
chr3,85736500
chr3,85899500
chr3,85994500
chr3,86058500
chr3,86830500
chr3,86901500
chr3,87635500
chr3,87862500
chr3,88232500
chr3,88437500
chr3,89146500
chr3,89501500
chr3,89636500
chr3,90543500
chr3,90722500
chr3,90827500
chr3,91141500
chr3,92823500
chr3,93615500
chr3,94088500
chr3,94739500
chr3,95107500
chr3,95231500
chr3,95817500
chr3,96603500
chr3,96853500
chr3,97555500
chr3,97766500
chr3,98652500
chr3,98982500
chr3,99136500
chr3,99368500
chr3,99489500
chr3,101522500
chr3,101638500
chr3,102189500
chr3,103032500
chr3,103327500
chr3,103490500
chr3,103680500
chr3,104168500
chr3,104198500
chr3,105834500
chr3,105868500
chr3,106247500
chr3,106424500
chr3,106642500
chr3,106847500
chr3,107483500
chr3,108154500
chr3,108167500
chr3,108308500
chr3,108431500
chr3,108448500
chr3,108463500
chr3,109240500
chr3,109598500
chr3,109831500
chr3,110226500
chr3,110282500
chr3,110428500
chr3,110658500
chr3,111046500
chr3,112107500
chr3,113498500
chr3,113585500
chr3,113804500
chr3,113926500
chr3,114128500
chr3,117015500
chr3,117680500
chr3,117827500
chr3,118168500
chr3,118496500
chr3,118817500
chr3,118858500
chr3,119168500
chr3,119188500
chr3,119282500
chr3,119739500
chr3,120189500
chr3,120231500
chr3,120591500
chr3,121109500
chr3,121382500
chr3,121564500
chr3,121615500
chr3,122288500
chr3,122345500
chr3,122856500
chr3,122896500
chr3,122992500
chr3,123116500
chr3,123413500
chr3,123464500
chr3,123813500
chr3,123845500
chr3,124294500
chr3,124594500
chr3,125192500
chr3,126236500
chr3,126574500
chr3,126810500
chr3,126828500
chr3,127016500
chr3,127354500
chr3,128338500
chr3,128478500
chr3,128721500
chr3,129013500
chr3,129493500
chr3,130009500
chr3,130440500
chr3,130506500
chr3,130522500
chr3,131031500
chr3,131298500
chr3,131454500
chr3,131577500
chr3,131689500
chr3,132049500
chr3,132303500
chr3,133362500
chr3,133757500
chr3,133795500
chr3,134221500
chr3,135048500
chr3,135201500
chr3,135810500
chr3,136082500
chr3,136165500
chr3,136315500
chr3,136658500
chr3,136952500
chr3,136962500
chr3,137061500
chr3,137279500
chr3,137403500
chr3,137439500
chr3,137485500
chr3,137856500
chr3,137996500
chr3,138330500
chr3,138644500
chr3,139101500
chr3,139584500
chr3,140161500
chr3,140678500
chr3,140780500
chr3,141061500
chr3,141455500
chr3,141563500
chr3,141638500
chr3,141711500
chr3,141803500
chr3,142325500
chr3,142718500
chr3,143973500
chr3,144824500
chr3,145283500
chr3,145382500
chr3,145504500
chr3,146678500
chr3,147048500
chr3,147180500
chr3,147666500
chr3,147987500
chr3,148030500
chr3,148898500
chr3,149573500
chr3,149599500
chr3,149964500
chr3,149971500
chr3,150249500
chr3,151163500
chr3,151321500
chr3,151784500
chr3,151797500
chr3,151873500
chr3,151916500
chr3,151949500
